2014,jan,96,95,-95,Norway NOR,32.71
2014,jan,97,96,-96,Greece HEL,30.49
2014,jan,98,97,-97,American Samoa ASA,30
2014,jan,99,97,-97,Indonesia IDO,30
2014,jan,100,97,-97,United Arab Emirates UAE,30
2014,jan,101,100,-100,Mauritius MUS,29.29
2014,jan,102,101,-101,Finland FIN,27.92
2014,feb,2,1,-1,New Zealand NZL,93.81
2014,feb,3,2,-2,South Africa RSA,89.34
2014,feb,4,3,-3,Australia AUS,86.88
2014,feb,5,4,-4,England ENG,85.7
2014,feb,6,5,-5,France FRA,80.87
2014,feb,7,6,-6,Wales WAL,80.19
2014,feb,8,7,-7,Ireland IRE,79.33
2014,feb,9,8,-8,Samoa SAM,77.34
2014,feb,10,9,-9,Scotland SCO,76.56
2014,feb,11,10,-10,Argentina ARG,76.44
2014,feb,12,11,-11,Fiji FJI,74.21
2014,feb,13,12,-12,Tonga TGA,73.21
2014,feb,14,13,-13,Italy ITA,73.13
2014,feb,15,14,-14,Japan JPN,72.06
2014,feb,16,15,-15,Canada CAN,70.75
2014,feb,17,16,-16,Georgia GEO,69.07
2014,feb,18,17,-17,Romania ROM,67.47
2014,feb,19,18,-18,USA USA,67.41
2014,feb,20,19,-19,Russia RUS,61.14
2014,feb,21,20,-20,Uruguay URU,60.77
2014,feb,22,21,-21,Spain ESP,60.62
2014,feb,23,22,-22,Portugal POR,59.37
2014,feb,24,23,-23,Namibia NAM,58.79
2014,feb,25,24,-24,Korea KOR,58.1
2014,feb,26,25,-25,Hong Kong HKG,56.35
2014,feb,27,26,-26,Germany GER,56.2
2014,feb,28,27,-27,Belgium BEL,55.72
2014,feb,29,28,-28,Chile CHL,55.44
2014,feb,30,29,-29,Moldova MDA,55.11
2014,feb,31,30,-30,Zimbabwe ZIM,53.56
2014,feb,32,31,-31,Netherlands NED,52.86
2014,feb,33,32,-32,Poland POL,52.32
2014,feb,34,33,-33,Ukraine UKR,52.17
2014,feb,35,34,-34,Kenya KEN,51.75
2014,feb,36,35,-35,Morocco MAR,51.18
2014,feb,37,36,-36,Madagascar MAD,51.13
2014,feb,38,37,-37,Brazil BRA,50.95
2014,feb,39,38,-38,Paraguay PAR,50.09
2014,feb,40,39,-39,Switzerland SUI,49.83
2014,feb,41,40,-40,Sri Lanka SRI,49.66
2014,feb,42,41,-41,Senegal SEN,48.68
2014,feb,43,42,-42,Sweden SWE,48.64
2014,feb,44,43,-43,Malta MLT,48.61
2014,feb,45,44,-44,Tunisia TUN,48.25
2014,feb,46,45,-45,Kazakhstan KAZ,48.11
2014,feb,47,46,-46,Cook Islands COK,47.11
2014,feb,48,47,-47,Cote D'Ivoire CIV,47.04
2014,feb,49,48,-48,Czech Republic CZE,47
2014,feb,50,49,-49,Israel ISR,46.83
2014,feb,51,50,-50,Trinidad & Tobago TRI,46.38
2014,feb,52,51,-51,Uganda UGA,46.36
2014,feb,53,52,-52,Lithuania LTU,46.06
2014,feb,54,53,-53,Bermuda BER,45.53
2014,feb,55,54,-54,Papua New Guinea PNG,45.27
2014,feb,56,55,-55,Singapore SIN,44.54
2014,feb,57,56,-56,Croatia CRO,44.42
2014,feb,58,57,-57,Philippines PHP,44.09
2014,feb,59,58,-58,Chinese Taipei TPE,43.41
2014,feb,60,59,-59,Thailand THA,43.37
2014,feb,61,60,-60,Colombia COL,43.33
2014,feb,62,61,-61,Guyana GUY,43.19
2014,feb,63,62,-62,Andorra AND,42.62
2014,feb,64,63,-63,Cayman Islands CAY,42.52
2014,feb,65,64,-64,Venezuela VEN,41.67
2014,feb,66,65,-65,Hungary HUN,40.81
2014,feb,67,66,-66,China CHN,40.73
2014,feb,68,67,-67,Niue Island NIU,40.45
2014,feb,69,68,-68,Solomon Islands SOL,40.35
2014,feb,70,69,-69,Latvia LAT,40.34
2014,feb,71,70,-70,Malaysia MAS,40.2
2014,feb,72,71,-71,Denmark DEN,40.14
2014,feb,73,72,-72,Peru PER,40.13
2014,feb,74,73,-73,Barbados BRB,39.68
2014,feb,75,74,-74,Mexico MEX,39.38
2014,feb,76,75,-75,India IND,39.37
2014,feb,77,76,-76,Botswana BWA,38.58
2014,feb,78,77,-77,Pakistan PAK,38.38
2014,feb,79,78,-78,Cameroon CAM,38.33
2014,feb,80,79,-79,Nigeria NGA,37.92
2014,feb,81,80,-80,Serbia SRB,37.81
2014,feb,82,81,-81,Jamaica JAM,37.08
2014,feb,83,82,-82,Zambia ZAM,36.94
2014,feb,84,83,-83,St Vincent and the Grenadines SVG,36.84
2014,feb,85,84,-84,Slovenia SVN,36.46
2014,feb,86,85,-85,Austria AUT,35.94
2014,feb,87,86,-86,Guam GUM,35.7
2014,feb,88,87,-87,Bahamas BHS,35.68
2014,feb,89,88,-88,Swaziland SWZ,35.63
2014,feb,90,89,-89,Bulgaria BUL,35.42
2014,feb,91,90,-90,Bosnia & Herzegovina BIH,35.41
2014,feb,92,91,-91,Tahiti PYF,35.37
2014,feb,93,92,-92,Monaco MON,35.17
2014,feb,94,93,-93,Luxembourg LUX,34.61
2014,feb,95,94,-94,Vanuatu VAN,33.45
2014,feb,96,95,-95,Norway NOR,32.71
2014,feb,97,96,-96,Greece HEL,30.49
2014,feb,98,97,-97,American Samoa ASA,30
2014,feb,99,97,-97,Indonesia IDO,30
2014,feb,100,97,-97,United Arab Emirates UAE,30
2014,feb,101,100,-100,Mauritius MUS,29.29
2014,feb,102,101,-101,Finland FIN,27.92
2014,mar,2,1,-1,New Zealand NZL,93.81
2014,mar,3,2,-2,South Africa RSA,89.34
2014,mar,4,3,-3,Australia AUS,86.88
2014,mar,5,4,-4,England ENG,85.46
2014,mar,6,5,-6,Ireland IRE,80.76
2014,mar,7,6,-7,Wales WAL,80.6
2014,mar,8,7,-5,France FRA,80.56
2014,mar,9,8,-8,Samoa SAM,77.34
2014,mar,10,9,-9,Argentina ARG,76.44
2014,mar,11,10,-10,Scotland SCO,76.35
2014,mar,12,11,-11,Fiji FJI,74.21
2014,mar,13,12,-12,Tonga TGA,73.21
2014,mar,14,13,-14,Japan JPN,72.06
2014,mar,15,14,-13,Italy ITA,72.05
2014,mar,16,15,-15,Canada CAN,70.75
2014,mar,17,16,-16,Georgia GEO,69.57
2014,mar,18,17,-17,Romania ROM,68.66
2014,mar,19,18,-18,USA USA,67.41
2014,mar,20,19,-19,Russia RUS,61.2
2014,mar,21,20,-20,Uruguay URU,60.77
2014,mar,22,21,-22,Portugal POR,59.83
2014,mar,23,22,-21,Spain ESP,59.71
2014,mar,24,23,-23,Namibia NAM,58.79
2014,mar,25,24,-24,Korea KOR,58.1
2014,mar,26,25,-25,Hong Kong HKG,56.35
2014,mar,27,26,-26,Germany GER,56.2
2014,mar,28,27,-27,Chile CHL,55.44
2014,mar,29,28,-29,Moldova MDA,55.11
2014,mar,30,29,-28,Belgium BEL,54.44
2014,mar,31,30,-30,Zimbabwe ZIM,53.56
2014,mar,32,31,-31,Netherlands NED,52.86
2014,mar,33,32,-32,Poland POL,52.32
2014,mar,34,33,-33,Ukraine UKR,52.17
2014,mar,35,34,-34,Kenya KEN,51.75
2014,mar,36,35,-35,Morocco MAR,51.18
2014,mar,37,36,-36,Madagascar MAD,51.13
2014,mar,38,37,-37,Brazil BRA,50.95
2014,mar,39,38,-38,Paraguay PAR,50.09
2014,mar,40,39,-39,Switzerland SUI,49.83
2014,mar,41,40,-40,Sri Lanka SRI,49.66
2014,mar,42,41,-41,Senegal SEN,48.68
2014,mar,43,42,-42,Sweden SWE,48.64
2014,mar,44,43,-43,Malta MLT,48.61
2014,mar,45,44,-44,Tunisia TUN,48.25
2014,mar,46,45,-45,Kazakhstan KAZ,48.11
2014,mar,47,46,-46,Cook Islands COK,47.11
2014,mar,48,47,-47,Cote D'Ivoire CIV,47.04
2014,mar,49,48,-48,Czech Republic CZE,47
2014,mar,50,49,-49,Israel ISR,46.83
2014,mar,51,50,-50,Trinidad & Tobago TRI,46.38
2014,mar,52,51,-51,Uganda UGA,46.36
2014,mar,53,52,-52,Lithuania LTU,46.06
2014,mar,54,53,-53,Bermuda BER,45.53
2014,mar,55,54,-54,Papua New Guinea PNG,45.27
2014,mar,56,55,-55,Singapore SIN,44.54
2014,mar,57,56,-56,Croatia CRO,44.42
2014,mar,58,57,-57,Philippines PHP,44.09
2014,mar,59,58,-58,Chinese Taipei TPE,43.41
2014,mar,60,59,-59,Thailand THA,43.37
2014,mar,61,60,-60,Colombia COL,43.33
2014,mar,62,61,-61,Guyana GUY,43.19
2014,mar,63,62,-62,Andorra AND,42.62
2014,mar,64,63,-63,Cayman Islands CAY,42.52
2014,mar,65,64,-64,Venezuela VEN,41.67
2014,mar,66,65,-65,Hungary HUN,40.81
2014,mar,67,66,-66,China CHN,40.73
2014,mar,68,67,-67,Niue Island NIU,40.45
2014,mar,69,68,-68,Solomon Islands SOL,40.35
2014,mar,70,69,-69,Latvia LAT,40.34
2014,mar,71,70,-70,Malaysia MAS,40.2
2014,mar,72,71,-71,Denmark DEN,40.14
2014,mar,73,72,-72,Peru PER,40.13
2014,mar,74,73,-73,Barbados BRB,39.68
2014,mar,75,74,-74,Mexico MEX,39.38
2014,mar,76,75,-75,India IND,39.37
2014,mar,77,76,-76,Botswana BWA,38.58
2014,mar,78,77,-77,Pakistan PAK,38.38
2014,mar,79,78,-78,Cameroon CAM,38.33
2014,mar,80,79,-79,Nigeria NGA,37.92
2014,mar,81,80,-80,Serbia SRB,37.81
2014,mar,82,81,-81,Jamaica JAM,37.08
2014,mar,83,82,-82,Zambia ZAM,36.94
2014,mar,84,83,-83,St Vincent and the Grenadines SVG,36.84
2014,mar,85,84,-84,Slovenia SVN,36.46
2014,mar,86,85,-85,Austria AUT,35.94
2014,mar,87,86,-86,Guam GUM,35.7
2014,mar,88,87,-87,Bahamas BHS,35.68
2014,mar,89,88,-88,Swaziland SWZ,35.63
2014,mar,90,89,-89,Bulgaria BUL,35.42
2014,mar,91,90,-90,Bosnia & Herzegovina BIH,35.41
2014,mar,92,91,-91,Tahiti PYF,35.37
2014,mar,93,92,-92,Monaco MON,35.17
2014,mar,94,93,-93,Luxembourg LUX,34.61
2014,mar,95,94,-94,Vanuatu VAN,33.45
2014,mar,96,95,-95,Norway NOR,32.71
2014,mar,97,96,-96,Greece HEL,30.49
2014,mar,98,97,-97,American Samoa ASA,30
2014,mar,99,97,-97,Indonesia IDO,30
2014,mar,100,97,-97,United Arab Emirates UAE,30
2014,mar,101,100,-100,Mauritius MUS,29.29
2014,mar,102,101,-101,Finland FIN,27.92
2014,apr,2,1,-1,New Zealand NZL,93.81
2014,apr,3,2,-2,South Africa RSA,89.34
2014,apr,4,3,-3,Australia AUS,86.88
2014,apr,5,4,-4,England ENG,85.68
2014,apr,6,5,-5,Ireland IRE,82.13
2014,apr,7,6,-6,Wales WAL,80.7
2014,apr,8,7,-7,France FRA,80.07
2014,apr,9,8,-8,Samoa SAM,77.34
2014,apr,10,9,-9,Argentina ARG,76.44
2014,apr,11,10,-10,Scotland SCO,75.16
2014,apr,12,11,-11,Fiji FJI,74.21
2014,apr,13,12,-12,Tonga TGA,73.21
2014,apr,14,13,-13,Japan JPN,72.06
2014,apr,15,14,-14,Italy ITA,72.05
2014,apr,16,15,-15,Canada CAN,70.75
2014,apr,17,16,-16,Georgia GEO,70.46
2014,apr,18,17,-17,Romania ROM,68.08
2014,apr,19,18,-18,USA USA,67.21
2014,apr,20,19,-19,Russia RUS,62.58
2014,apr,21,20,-20,Uruguay URU,60.97
2014,apr,22,21,-21,Spain ESP,60.65
2014,apr,23,22,-22,Namibia NAM,58.79
2014,apr,24,23,-23,Korea KOR,58.1
2014,apr,25,24,-24,Portugal POR,57.73
2014,apr,26,25,-25,Hong Kong HKG,56.35
2014,apr,27,26,-26,Germany GER,56.2
2014,apr,28,27,-27,Chile CHL,55.44
2014,apr,29,28,-28,Moldova MDA,55.11
2014,apr,30,29,-29,Belgium BEL,53.9
2014,apr,31,30,-30,Zimbabwe ZIM,53.56
2014,apr,32,31,-31,Netherlands NED,52.86
2014,apr,33,32,-32,Poland POL,52.32
2014,apr,34,33,-33,Ukraine UKR,52.17
2014,apr,35,34,-34,Kenya KEN,51.75
2014,apr,36,35,-35,Morocco MAR,51.18
2014,apr,37,36,-36,Madagascar MAD,51.13
2014,apr,38,37,-37,Brazil BRA,50.95
2014,apr,39,38,-38,Paraguay PAR,50.09
2014,apr,40,39,-39,Switzerland SUI,49.83
2014,apr,41,40,-40,Sri Lanka SRI,49.66
2014,apr,42,41,-41,Senegal SEN,48.68
2014,apr,43,42,-42,Sweden SWE,48.64
2014,apr,44,43,-43,Malta MLT,48.61
2014,apr,45,44,-44,Tunisia TUN,48.25
2014,apr,46,45,-45,Kazakhstan KAZ,48.11
2014,apr,47,46,-46,Cook Islands COK,47.11
2014,apr,48,47,-47,Cote D'Ivoire CIV,47.04
2014,apr,49,48,-48,Czech Republic CZE,47
2014,apr,50,49,-49,Israel ISR,46.83
2014,apr,51,50,-50,Trinidad & Tobago TRI,46.38
2014,apr,52,51,-51,Uganda UGA,46.36
2014,apr,53,52,-52,Lithuania LTU,46.06
2014,apr,54,53,-53,Bermuda BER,45.53
2014,apr,55,54,-54,Papua New Guinea PNG,45.27
2014,apr,56,55,-55,Singapore SIN,44.54
2014,apr,57,56,-56,Croatia CRO,44.42
2014,apr,58,57,-57,Philippines PHP,44.09
2014,apr,59,58,-58,Chinese Taipei TPE,43.41
2014,apr,60,59,-59,Thailand THA,43.37
2014,apr,61,60,-60,Colombia COL,43.33
2014,apr,62,61,-61,Guyana GUY,43.19
2014,apr,63,62,-62,Andorra AND,42.84
2014,apr,64,63,-63,Cayman Islands CAY,42.52
2014,apr,65,64,-64,Venezuela VEN,41.67
2014,apr,66,65,-65,Hungary HUN,40.81
2014,apr,67,66,-66,China CHN,40.73
2014,apr,68,67,-67,Niue Island NIU,40.45
2014,apr,69,68,-68,Solomon Islands SOL,40.35
2014,apr,70,69,-69,Latvia LAT,40.34
2014,apr,71,70,-70,Malaysia MAS,40.2
2014,apr,72,71,-71,Denmark DEN,40.14
2014,apr,73,72,-72,Peru PER,40.13
2014,apr,74,73,-73,Barbados BRB,39.68
2014,apr,75,74,-74,Mexico MEX,39.38
2014,apr,76,75,-75,India IND,39.37
2014,apr,77,76,-76,Botswana BWA,38.58
2014,apr,78,77,-77,Pakistan PAK,38.38
2014,apr,79,78,-78,Cameroon CAM,38.33
2014,apr,80,79,-79,Nigeria NGA,37.92
2014,apr,81,80,-80,Serbia SRB,37.59
2014,apr,82,81,-81,Jamaica JAM,37.08
2014,apr,83,82,-82,Zambia ZAM,36.94
2014,apr,84,83,-83,St Vincent and the Grenadines SVG,36.84
2014,apr,85,84,-84,Slovenia SVN,36.46
2014,apr,86,85,-85,Austria AUT,35.94
2014,apr,87,86,-86,Guam GUM,35.7
2014,apr,88,87,-87,Bahamas BHS,35.68
2014,apr,89,88,-88,Swaziland SWZ,35.63
2014,apr,90,89,-89,Bulgaria BUL,35.42
2014,apr,91,90,-90,Bosnia & Herzegovina BIH,35.41
2014,apr,92,91,-91,Tahiti PYF,35.37
2014,apr,93,92,-92,Monaco MON,35.17
2014,apr,94,93,-93,Luxembourg LUX,34.61
2014,apr,95,94,-94,Vanuatu VAN,33.45
2014,apr,96,95,-95,Norway NOR,32.71
2014,apr,97,96,-96,Greece HEL,30.49
2014,apr,98,97,-97,American Samoa ASA,30
2014,apr,99,97,-97,Indonesia IDO,30
2014,apr,100,97,-97,United Arab Emirates UAE,30
2014,apr,101,100,-100,Mauritius MUS,29.29
2014,apr,102,101,-101,Finland FIN,27.92
2014,may,2,1,-1,New Zealand NZL,93.81
2014,may,3,2,-2,South Africa RSA,89.34
2014,may,4,3,-3,Australia AUS,86.88
2014,may,5,4,-4,England ENG,85.68
2014,may,6,5,-5,Ireland IRE,82.13
2014,may,7,6,-6,Wales WAL,80.7
2014,may,8,7,-7,France FRA,80.07
2014,may,9,8,-8,Samoa SAM,77.34
2014,may,10,9,-9,Argentina ARG,76.44
2014,may,11,10,-10,Scotland SCO,75.16
2014,may,12,11,-11,Fiji FJI,74.21
2014,may,13,12,-12,Tonga TGA,73.21
2014,may,14,13,-13,Japan JPN,72.06
2014,may,15,14,-14,Italy ITA,72.05
2014,may,16,15,-15,Canada CAN,70.75
2014,may,17,16,-16,Georgia GEO,70.46
2014,may,18,17,-17,Romania ROM,68.08
2014,may,19,18,-18,USA USA,67.21
2014,may,20,19,-19,Russia RUS,62.58
2014,may,21,20,-20,Uruguay URU,61.29
2014,may,22,21,-21,Spain ESP,60.65
2014,may,23,22,-22,Namibia NAM,58.79
2014,may,24,23,-23,Korea KOR,58.1
2014,may,25,24,-24,Portugal POR,57.73
2014,may,26,25,-27,Germany GER,57.02
2014,may,27,26,-26,Hong Kong HKG,56.35
2014,may,28,27,-28,Chile CHL,54.29
2014,may,29,28,-29,Netherlands NED,54.17
2014,may,30,29,-25,Moldova MDA,54.1
2014,may,31,30,-30,Belgium BEL,53.9
2014,may,32,31,-31,Zimbabwe ZIM,53.56
2014,may,33,32,-33,Ukraine UKR,52.37
2014,may,34,33,-37,Brazil BRA,52.1
2014,may,35,34,-32,Kenya KEN,51.75
2014,may,36,35,-35,Morocco MAR,51.18
2014,may,37,36,-36,Madagascar MAD,51.13
2014,may,38,37,-34,Poland POL,50.64
2014,may,39,38,-38,Paraguay PAR,49.77
2014,may,40,39,-39,Sri Lanka SRI,49.66
2014,may,41,40,-49,Czech Republic CZE,49.49
2014,may,42,41,-40,Malta MLT,48.85
2014,may,43,42,-41,Senegal SEN,48.68
2014,may,44,43,-44,Tunisia TUN,48.25
2014,may,45,44,-45,Kazakhstan KAZ,48.11
2014,may,46,45,-42,Sweden SWE,47.82
2014,may,47,46,-43,Switzerland SUI,47.27
2014,may,48,47,-47,Cook Islands COK,47.11
2014,may,49,48,-48,Cote D'Ivoire CIV,47.04
2014,may,50,49,-50,Trinidad & Tobago TRI,46.38
2014,may,51,50,-51,Uganda UGA,46.36
2014,may,52,51,-55,Lithuania LTU,46.2
2014,may,53,52,-46,Israel ISR,45.75
2014,may,54,53,-53,Croatia CRO,45.28
2014,may,55,54,-54,Papua New Guinea PNG,45.27
2014,may,56,55,-56,Singapore SIN,44.54
2014,may,57,56,-57,Philippines PHP,44.09
2014,may,58,57,-52,Bermuda BER,43.56
2014,may,59,58,-58,Chinese Taipei TPE,43.41
2014,may,60,59,-59,Thailand THA,43.37
2014,may,61,60,-60,Colombia COL,43.33
2014,may,62,61,-61,Guyana GUY,43.19
2014,may,63,62,-62,Andorra AND,42.54
2014,may,64,63,-63,Cayman Islands CAY,42.52
2014,may,65,64,-70,Latvia LAT,41.72
2014,may,66,65,-64,Venezuela VEN,41.67
2014,may,67,66,-74,Mexico MEX,41.35
2014,may,68,67,-65,Denmark DEN,41.18
2014,may,69,68,-66,Hungary HUN,41.02
2014,may,70,69,-67,China CHN,40.73
2014,may,71,70,-68,Niue Island NIU,40.45
2014,may,72,71,-69,Solomon Islands SOL,40.35
2014,may,73,72,-71,Malaysia MAS,40.2
2014,may,74,73,-72,Peru PER,40.13
2014,may,75,74,-73,Barbados BRB,39.68
2014,may,76,75,-75,India IND,39.37
2014,may,77,76,-76,Botswana BWA,38.58
2014,may,78,77,-77,Pakistan PAK,38.38
2014,may,79,78,-78,Cameroon CAM,38.33
2014,may,80,79,-79,Nigeria NGA,37.92
2014,may,81,80,-80,Slovenia SVN,37.35
2014,may,82,81,-81,Jamaica JAM,37.08
2014,may,83,82,-82,Zambia ZAM,36.94
2014,may,84,83,-83,St Vincent and the Grenadines SVG,36.84
2014,may,85,84,-84,Serbia SRB,36.54
2014,may,86,85,-85,Bosnia & Herzegovina BIH,36.06
2014,may,87,86,-92,Luxembourg LUX,35.94
2014,may,88,87,-86,Austria AUT,35.73
2014,may,89,88,-87,Guam GUM,35.7
2014,may,90,89,-88,Bahamas BHS,35.68
2014,may,91,90,-89,Swaziland SWZ,35.63
2014,may,92,91,-90,Tahiti PYF,35.37
2014,may,93,92,-91,Monaco MON,35.17
2014,may,94,93,-93,Bulgaria BUL,34.52
2014,may,95,94,-94,Vanuatu VAN,33.45
2014,may,96,95,-95,Norway NOR,32.06
2014,may,97,96,-97,American Samoa ASA,30
2014,may,98,96,-97,Indonesia IDO,30
2014,may,99,96,-97,United Arab Emirates UAE,30
2014,may,100,99,-100,Mauritius MUS,29.29
2014,may,101,100,-96,Greece HEL,29.16
2014,may,102,101,-101,Finland FIN,27.92
2014,jun,2,1,-1,New Zealand NZL,93.81
2014,jun,3,2,-2,South Africa RSA,89.34
2014,jun,4,3,-3,Australia AUS,86.88
2014,jun,5,4,-4,England ENG,85.68
2014,jun,6,5,-5,Ireland IRE,82.13
2014,jun,7,6,-6,Wales WAL,80.7
2014,jun,8,7,-7,France FRA,80.07
2014,jun,9,8,-8,Samoa SAM,77.34
2014,jun,10,9,-9,Argentina ARG,76.44
2014,jun,11,10,-10,Scotland SCO,75.16
2014,jun,12,11,-11,Fiji FJI,74.21
2014,jun,13,12,-12,Tonga TGA,73.21
2014,jun,14,13,-13,Japan JPN,72.06
2014,jun,15,14,-14,Italy ITA,72.05
2014,jun,16,15,-15,Canada CAN,70.75
2014,jun,17,16,-16,Georgia GEO,70.46
2014,jun,18,17,-17,Romania ROM,68.08
2014,jun,19,18,-18,USA USA,67.21
2014,jun,20,19,-19,Russia RUS,63.43
2014,jun,21,20,-20,Uruguay URU,61.86
2014,jun,22,21,-21,Spain ESP,60.65
2014,jun,23,22,-22,Namibia NAM,58.79
2014,jun,24,23,-23,Hong Kong HKG,58.47
2014,jun,25,24,-25,Portugal POR,57.73
2014,jun,26,25,-26,Korea KOR,57.22
2014,jun,27,26,-24,Germany GER,57.19
2014,jun,28,27,-27,Chile CHL,54.54
2014,jun,29,28,-28,Moldova MDA,54.1
2014,jun,30,29,-29,Belgium BEL,53.9
2014,jun,31,30,-30,Zimbabwe ZIM,53.56
2014,jun,32,31,-31,Netherlands NED,53.16
2014,jun,33,32,-32,Ukraine UKR,52.37
2014,jun,34,33,-33,Kenya KEN,51.75
2014,jun,35,34,-34,Morocco MAR,51.18
2014,jun,36,35,-35,Madagascar MAD,51.13
2014,jun,37,36,-36,Poland POL,50.64
2014,jun,38,37,-37,Brazil BRA,50.63
2014,jun,39,38,-38,Paraguay PAR,50.42
2014,jun,40,39,-39,Czech Republic CZE,49.49
2014,jun,41,40,-40,Kazakhstan KAZ,48.91
2014,jun,42,41,-41,Malta MLT,48.85
2014,jun,43,42,-42,Senegal SEN,48.68
2014,jun,44,43,-43,Tunisia TUN,48.25
2014,jun,45,44,-44,Sweden SWE,47.82
2014,jun,46,45,-45,Switzerland SUI,47.27
2014,jun,47,46,-46,Cook Islands COK,47.11
2014,jun,48,47,-47,Cote D'Ivoire CIV,47.04
2014,jun,49,48,-48,Sri Lanka SRI,46.95
2014,jun,50,49,-49,Trinidad & Tobago TRI,46.38
2014,jun,51,50,-50,Uganda UGA,46.36
2014,jun,52,51,-51,Lithuania LTU,46.2
2014,jun,53,52,-53,Israel ISR,45.75
2014,jun,54,53,-52,Philippines PHP,45.57
2014,jun,55,54,-54,Croatia CRO,45.28
